instances,vbih,bs,ig
testes/in14_159.dat,8787,8739,8822
testes/in14_160.dat,8377,8353,8440
testes/in14_161.dat,8499,8446,8505
testes/in14_162.dat,8488,8515,8593
testes/in14_163.dat,9511,9405,9520
testes/in14_164.dat,8274,8256,8384
testes/in14_165.dat,7821,7752,7824
testes/in14_166.dat,8160,8103,8234
testes/in14_167.dat,8655,8655,8766
testes/in14_168.dat,8792,8762,8859
testes/in14_169.dat,8644,8597,8733
testes/in14_170.dat,8113,8170,8242
testes/in14_171.dat,8107,8101,8175
testes/in14_172.dat,8245,8187,8356
testes/in14_173.dat,8124,8094,8240
testes/in14_174.dat,8890,8821,8936
testes/in14_175.dat,7851,7848,7945
testes/in14_176.dat,8563,8512,8628
testes/in14_177.dat,7771,7826,7847
testes/in14_178.dat,8574,8583,8652
testes/in14_179.dat,8301,8285,8397
testes/in14_180.dat,8224,8162,8305
testes/in18_001.dat,4712,4774,4697
testes/in18_002.dat,4381,4381,4381
testes/in18_003.dat,4590,4640,4590
testes/in18_004.dat,4949,4983,4949
testes/in18_005.dat,4614,4681,4614
testes/in18_006.dat,4846,4959,4803
testes/in18_007.dat,4649,4698,4496
testes/in18_008.dat,4688,4791,4685
testes/in18_009.dat,4707,4709,4707
testes/in18_010.dat,4692,4778,4652
testes/in18_011.dat,4503,4546,4503
testes/in18_012.dat,4643,4760,4643
testes/in18_013.dat,4581,4766,4573
testes/in18_014.dat,4479,4619,4479
testes/in18_015.dat,4683,4763,4683
testes/in18_016.dat,4693,4903,4693
testes/in18_017.dat,5063,5126,5063
testes/in18_018.dat,4674,4676,4674
testes/in18_019.dat,4599,4599,4599
testes/in18_020.dat,4543,4618,4450
testes/in18_021.dat,3382,3382,3382
testes/in18_022.dat,2817,2775,2775
testes/in18_023.dat,3125,2971,2971
testes/in18_024.dat,2979,2940,2942
testes/in18_025.dat,2972,2972,2972
testes/in18_026.dat,3663,3663,3681
testes/in18_027.dat,3468,3468,3468
testes/in18_028.dat,3556,3512,3512
testes/in18_029.dat,3423,3423,3423
testes/in18_030.dat,3325,3290,3290
testes/in18_031.dat,3326,3295,3295
testes/in18_032.dat,3251,3222,3222
testes/in18_033.dat,3427,3332,3332
testes/in18_034.dat,3610,3591,3592
testes/in18_035.dat,3304,3304,3304
testes/in18_036.dat,3256,3256,3256
testes/in18_037.dat,3371,3371,3371
testes/in18_038.dat,3492,3487,3491
testes/in18_039.dat,3208,3167,3167
testes/in18_040.dat,3386,3386,3386
testes/in18_041.dat,2447,2447,2447
testes/in18_042.dat,3315,3315,3317
testes/in18_043.dat,3619,3619,3619
testes/in18_044.dat,3170,3170,3170
testes/in18_045.dat,3775,3775,3775
testes/in18_046.dat,3647,3628,3624
testes/in18_047.dat,2714,2722,2714
testes/in18_048.dat,2754,2711,2738
testes/in18_049.dat,2656,2656,2656
testes/in18_050.dat,3293,3293,3293
testes/in18_051.dat,3162,3162,3162
testes/in18_052.dat,3457,3457,3457
testes/in18_053.dat,3671,3671,3671
testes/in18_054.dat,2925,2925,2925
testes/in18_055.dat,3098,3098,3098
testes/in18_056.dat,3412,3412,3412
testes/in18_057.dat,3251,3251,3251
testes/in18_058.dat,3032,3032,3032
testes/in18_059.dat,3227,3227,3227
testes/in18_060.dat,3008,2970,2970
testes/in18_061.dat,9209,9588,9169
testes/in18_062.dat,8959,9107,8959
testes/in18_063.dat,8907,8918,8907
testes/in18_064.dat,9248,9438,9248
testes/in18_065.dat,8913,8913,8913
testes/in18_066.dat,9266,9245,9209
testes/in18_067.dat,9245,9389,9245
testes/in18_068.dat,9626,9917,9626
testes/in18_069.dat,9384,9669,9309
testes/in18_070.dat,9556,9869,9554
testes/in18_071.dat,9088,9291,9088
testes/in18_072.dat,8660,8872,8654
testes/in18_073.dat,9185,9513,9064
testes/in18_074.dat,9188,9228,9188
testes/in18_075.dat,9226,9404,9226
testes/in18_076.dat,8989,9061,8989
testes/in18_077.dat,8651,8793,8651
testes/in18_078.dat,9107,9199,9107
testes/in18_079.dat,9347,9497,9347
testes/in18_080.dat,9078,9091,9078
testes/in18_081.dat,5799,5736,5767
testes/in18_082.dat,6407,6357,6417
testes/in18_083.dat,5701,5655,5665
testes/in18_084.dat,6131,6130,6116
testes/in18_085.dat,6707,6562,6674
testes/in18_086.dat,6288,6219,6242
testes/in18_087.dat,6223,6103,6161
testes/in18_088.dat,6314,6250,6319
testes/in18_089.dat,6213,6181,6167
testes/in18_090.dat,6447,6347,6426
testes/in18_091.dat,6143,6158,6135
testes/in18_092.dat,6120,6088,6124
testes/in18_093.dat,6273,6221,6261
testes/in18_094.dat,5814,5742,5812
testes/in18_095.dat,5996,5899,5929
testes/in18_096.dat,6254,6152,6194
testes/in18_097.dat,6037,6014,6080
testes/in18_098.dat,6448,6393,6475
testes/in18_099.dat,6743,6706,6733
testes/in18_100.dat,6271,6258,6272
testes/in18_101.dat,5534,5507,5583
testes/in18_102.dat,5685,5618,5652
testes/in18_103.dat,5349,5288,5372
testes/in18_104.dat,5866,5852,5887
testes/in18_105.dat,5773,5779,5807
testes/in18_106.dat,6123,6148,6143
testes/in18_107.dat,5783,5702,5811
testes/in18_108.dat,6047,5953,5997
testes/in18_109.dat,5830,5794,5856
testes/in18_110.dat,6076,6078,6078
testes/in18_111.dat,5507,5474,5539
testes/in18_112.dat,5074,5074,5100
testes/in18_113.dat,5745,5771,5794
testes/in18_114.dat,5255,5239,5258
testes/in18_115.dat,5839,5833,5880
testes/in18_116.dat,6214,6187,6269
testes/in18_117.dat,5542,5436,5516
testes/in18_118.dat,6009,5983,6053
testes/in18_119.dat,6374,6327,6399
testes/in18_120.dat,5540,5478,5590
testes/in18_121.dat,13481,13649,13480
testes/in18_122.dat,13662,13704,13648
testes/in18_123.dat,13797,14027,13797
testes/in18_124.dat,13658,13850,13658
testes/in18_125.dat,13187,13283,13187
testes/in18_126.dat,13778,13863,13751
testes/in18_127.dat,13727,13885,13727
testes/in18_128.dat,13374,13409,13374
testes/in18_129.dat,13310,13344,13195
testes/in18_130.dat,13649,13949,13621
testes/in18_131.dat,13491,13598,13461
testes/in18_132.dat,13541,13637,13538
testes/in18_133.dat,13604,13864,13518
testes/in18_134.dat,13942,13991,13942
testes/in18_135.dat,13560,13597,13560
testes/in18_136.dat,13584,13712,13584
testes/in18_137.dat,13493,13893,13470
testes/in18_138.dat,13967,14251,13933
testes/in18_139.dat,13679,13833,13679
testes/in18_140.dat,13657,13722,13657
testes/in18_141.dat,8507,8424,8460
testes/in18_142.dat,9489,9434,9541
testes/in18_143.dat,8761,8552,8691
testes/in18_144.dat,8128,8017,8140
testes/in18_145.dat,8433,8329,8453
testes/in18_146.dat,9141,9126,9255
testes/in18_147.dat,9009,8941,9050
testes/in18_148.dat,8986,8848,8922
testes/in18_149.dat,8639,8441,8571
testes/in18_150.dat,9391,9283,9408
testes/in18_151.dat,8541,8370,8489
testes/in18_152.dat,8934,8834,8855
testes/in18_153.dat,9005,8945,9069
testes/in18_154.dat,8676,8558,8599
testes/in18_155.dat,8833,8709,8859
testes/in18_156.dat,9626,9541,9697
testes/in18_157.dat,8025,7939,7945
testes/in18_158.dat,9501,9352,9477
testes/in18_159.dat,9226,9135,9198
testes/in18_160.dat,9325,9201,9324
testes/in18_161.dat,8347,8207,8396
testes/in18_162.dat,7343,7232,7381
testes/in18_163.dat,8312,8275,8390
testes/in18_164.dat,8885,8815,8904
testes/in18_165.dat,8014,7962,8098
testes/in18_166.dat,8957,8914,9012
testes/in18_167.dat,9125,9103,9231
testes/in18_168.dat,8233,8156,8285
testes/in18_169.dat,9373,9342,9419
testes/in18_170.dat,8323,8220,8348
testes/in18_171.dat,8884,8909,8995
testes/in18_172.dat,7923,7848,8024
testes/in18_173.dat,8357,8203,8295
testes/in18_174.dat,8637,8600,8719
testes/in18_175.dat,8901,8787,8943
testes/in18_176.dat,7598,7460,7544
testes/in18_177.dat,7506,7467,7580
testes/in18_178.dat,8120,8000,8104
testes/in18_179.dat,7354,7268,7429
testes/in18_180.dat,8295,8243,8349
